Status,#,Category,Criteria,Control Activities Specified by the Service Organization,Tests Applied by the Service Auditor,Changes
,352,Risk Mitigation,CC9.2,The entity's third-party agreements outline and communicate confidentiality and privacy commitments and requirements.,Inspected the third-party agreement template to determine that the entity’s third-party agreements outlined and communicated confidentiality and privacy commitments and requirements. ,
,,,,,Inspected the executed third-party agreement for a sample of third parties to determine that the entity’s third-party agreements outlined and communicated confidentiality and privacy commitments and requirements.,
,353,Risk Mitigation,CC9.2,Management assesses the compliance of confidential commitments and requirements of third parties annually.,Inspected the evaluation forms to determine that management assessed the compliance of confidential commitments and requirements of third parties annually.,
,354,Risk Mitigation,CC9.2,The entity's third-party agreements outline and communicates privacy commitments and requirements.,Inspected the third-party agreement template to determine that the entity’s third-party agreements outlined and communicated privacy commitments and requirements. ,
,,,,,Inspected the executed third-party agreement for a sample of third parties to determine that the entity’s third-party agreements outlined and communicated privacy commitments and requirements. ,
,355,Availability,A1.1,"Monitoring software is used to identify and evaluate ongoing system performance, capacity, security threats, changing resource utilization needs and unusual system activity.","Inspected the monitoring tool configurations, the antivirus software settings, the FIM software configurations, the IDS configurations, SIEM tool dashboard and the firewall rule sets to determine that monitoring software was used to identify and evaluate ongoing system performance, capacity, security threats, changing resource utilization needs and unusual system activity.",
,356,Availability,A1.1,The monitoring software is configured to alert IT personnel when thresholds have been exceeded.,"Inspected the monitoring tool configurations and an example monitoring system alert, the FIM notification configurations and an example alert generated from the FIM software, the IDS notification configurations and an example IDS alert notification to determine that the monitoring software was configured to alert IT personnel when thresholds were exceeded.",
,357,Availability,A1.1,Processing capacity is monitored 24x7x365.,Inspected the monitoring tool configurations to determine that processing capacity was monitored 24x7x365.,
,358,Availability,A1.1,Future processing demand forecasts are reviewed and approved by management on a quarterly basis.,Inspected the management meeting minutes to determine that future processing demand forecasts were reviewed and approved by management on a quarterly basis.,
,359,Availability,A1.1,The change management process is followed when a change is made to a system as a result of capacity constraint.,Inspected the supporting change ticket for a sample of changes made to a system as a result of a capacity constraint/issue to determine that the change management process was followed when a change was made to a system as a result of capacity constraint.,
,360,Availability,A1.2,Environmental threats that could impair the availability of the system are considered and identified as a part of the risk assessment process. ,Inspected the completed risk assessment to determine that environmental threats that could impair the availability of the system were considered and identified as a part of the risk assessment process.,
,361,Availability,A1.2,"Risks relating to environmental threats identified as a part of the risk assessment process are addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk","Inspected the completed risk assessment to determine that risks relating to environmental threats identified as a part of the risk assessment process were addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk",
,362,Availability,A1.2,"When a backup job fails, the backup tool sends an alert to the backup administrators who investigate and resolve the failure.","Inspected the backup system configurations and an example backup alert to determine that when a backup job failed, the backup tool sent an alert to the backup administrators who investigated and resolved the failure.",
,363,Availability,A1.2,The ability to recall backed up data is restricted to authorized personnel. ,Inquired of the GRC Team Contractor regarding recalling backed up data to determine that the ability to recall backed up data was restricted to authorized personnel. ,
,,,,,Inspected the listing of users with the ability to recall backup media from the third-party storage facility to determine that the ability to recall backed up data was restricted to authorized personnel. ,
,364,Availability,A1.2,iCIMS uses a third-party backup software to perform daily full backups of critical corporate servers and data. Data is encrypted in storage and during the replication process between cloud environments.,Inspected the backup replication configurations to determine that iCIMS used a third-party backup software to perform daily differential and weekly full backups of critical corporate servers and data. Data was encrypted in storage and during the replication process between cloud environments.,
,365,Availability,A1.2,Production data is replicated to a separate and isolated availability zone continuously to achieve geo-redundancy.,Inspected the backup replication configurations to determine that production data was replicated to a separate and isolated availability zone continuously to achieve geo-redundancy.,
,366,Availability,A1.2,Redundant architecture is in place to migrate business operations to alternate infrastructure in the event normal processing infrastructure becomes unavailable.,Inspected the business continuity and disaster recovery plans and network diagram to determine that redundant architecture was in place to migrate business operations to alternate infrastructure in the event normal processing infrastructure becomes unavailable.,
,367,Availability,A1.3,A business continuity plan and disaster recovery plan are documented and in place that outline the range of disaster scenarios and steps the business will take in a disaster to ensure the timely resumption of critical business operations.,Inspected the business continuity and disaster recovery plans to determine that a business continuity and disaster recovery plan were documented and in place that outlined the range of disaster scenarios and steps the business would take in a disaster to ensure the timely resumption of critical business operations.,
,368,Availability,A1.3,"The business continuity plan and disaster recovery plan are tested on an annual basis and includes:
•	Various testing scenarios based on threat likelihood
•	Identifying the critical systems required for business operations
•	Assigning roles and responsibilities in the event of a disaster
•	Assessing and mitigating risks identified as a result of the test disaster","Inspected the completed business continuity and disaster recovery plan test results to determine that the business continuity plan and disaster recovery plan were tested on an annual basis and included:
•	Various testing scenarios based on threat likelihood
•	Identifying the critical systems required for business operations
•	Assigning roles and responsibilities in the event of a disaster
•	Assessing and mitigating risks identified as a result of the test disaster",
,369,Availability,A1.3,A data backup restoration test is performed on quarterly basis.,Inquired of the GRC Team Contractor regarding restoration testing to determine that a data backup restoration test was performed on a quarterly basis.,
,,,,,Inspected the completed backup restoration test for a sample of quarters to determine that a data backup restoration test was performed on a quarterly basis.,
,370,Processing Integrity,PI1.1,"Data flow diagrams, process flowcharts, narratives, and procedures manuals are documented and maintained by management to identify the critical data points and flow of information.","Inspected the data flow diagrams, process flow charts, narratives and procedures manuals to determine that data flow diagrams, process flowcharts, narratives, and procedures manuals were documented and maintained by management to identify the critical data points and flow of information.",
,371,Processing Integrity,PI1.1,The entity defines and documents what data and information are critical to support the system.,Inspected the data classification policies procedures and information security policies and procedures to determine that the entity defined and documented what data and information was critical to support the system.,
,273,Processing Integrity,PI1.1,"The entity has defined the following components of the data critical to supporting the system:
•	A description of what the critical data is and is used for
•	Source of the data
•	How the data is stored and transmitted","Inspected the data classification policies procedures and information security policies and procedures to determine that the entity defined the following components of the data critical to supporting the system:
•	A description of what the critical data was and was used for
•	Source of the data
•	How the data was stored and transmitted",
,373,Processing Integrity,PI1.1,Data is classified and structured in a consistent manner.,Inspected the system asset inventory to determine that data was classified and structured in a consistent manner.,
,374,Processing Integrity,PI1.2,The types of data input into the system by the entity’s employees is defined and documented.,Inspected the data classification policies and procedures to determine that the types of data input into the system by the entity’s employees was defined and documented.,
,375,Processing Integrity,PI1.2,The types of information input into the system by user entities is defined and documented.,Inspected the data classification policies and procedures to determine that the types of information input into the system by user entities was defined and documented.,
,376,Processing Integrity,PI1.2,Edit checks are in place to prevent incomplete or incorrect data from being entered into the system.,Inquired of the GRC Team Contractor regarding the edit checks to determine that edit checks were in place to prevent incomplete or incorrect data from being entered into the system.,
,,,,,Observed the input of information into the in-scope system to determine that edit checks were in place to prevent incomplete or incorrect data from being entered into the system.,
,,,,,Inspected the edit check configurations to determine that edits checks were in place to prevent incomplete or incorrect data from being entered into the system.,
,377,Processing Integrity,PI1.3,Monitoring software is used to monitor processing power and CPU utilization.,Inspected the tool used to monitor processing power and CPU utilization to determine that monitoring software was used to monitor processing power and CPU utilization. ,
,378,Processing Integrity,PI1.3,The entity has defined what critical data is and how it is processed.,Inspected the SLA for a sample of customers to determine that the entity defined what data was processed and how it was processed.,
,379,Processing Integrity,PI1.3,Errors in the processing of critical data are detected and corrected in a timely manner.,Inquired of the GRC Team Contractor regarding data processing errors to determine that errors in the processing of critical data were detected and corrected in a timely manner.,
,,,,,Inspected the Information Security Policy to determine that errors in the processing of critical data were detected and corrected in a timely manner.,
,,,,,Inspected the data processing error alert and e-mails for a sample of data processing errors to determine that errors in the processing of critical data were detected and corrected in a timely manner.,
,380,Processing Integrity,PI1.4,Critical data output from the system is stored and transmitted using secure encryption methods.,Inspected the encryption configurations for critical data output from the system that was stored to determine that critical data output from the system was stored and transmitted using secure encryption methods.,
,,,,,Inspected the encryption configurations for critical data output from the system that was transmitted to determine that critical data output from the system was stored and transmitted using secure encryption methods.,
,381,Processing Integrity,PI1.4,Critical data output from the system is distributed to authorized parties.,Inquired of the GRC Team Contractor regarding critical data to determine that critical data output from the system is distributed to authorized parties.,
,,,,,Inspected the listing of authorized parties that were distributed critical data output from the system to determine that critical data output from the system was distributed to authorized parties.,
,382,Processing Integrity,PI1.4,The entity has defined what critical data is and how it is processed.,Inspected the SLA for a sample of customers to determine that the entity defined what data was processed and how it was processed.,
,383,Processing Integrity,PI1.4,"Procedures are in place to provide for the completeness, accuracy, and timeliness of critical data that is output from the system.","Inspected the data classification policies and procedures, data subject’s rights policies and procedures, and data gathering requirements and onboarding workbooks to determine that procedures were in place to provide for the completeness, accuracy, and timeliness of critical data that is output from the system.",
,384,Processing Integrity,PI1.5,Data is stored in an encrypted format using software supporting the AES.,Inspected the encryption configurations for data at rest to determine that data was stored in an encrypted format using software supporting the AES.,
,385,Processing Integrity,PI1.5,Critical data records are securely archived. ,Inspected the data archive repository to determine that critical data records were securely archived. ,
,386,Processing Integrity,PI1.5,Backups of critical data are maintained securely offsite by a third party.,Inspected the contract with the offsite backup storage vendor to determine that backups of critical data were maintained offsite by a third party.,
,,,,,Inspected the attestation report of the backup storage vendor to determine that backups of critical data were maintained offsite by a third party.,
,387,Processing Integrity,PI1.5,"Procedures are in place to provide for complete, accurate, and timely storage of data. ","Inspected the backup policies and procedures to determine that procedures were in place to provide for complete, accurate, and timely storage of data. ",
,388,Processing Integrity,PI1.5,The ways in which critical data is backed up and stored is documented and reviewed annually. ,Inspected the backup policies and procedures to determine that the ways in which critical data was backed up and stored was documented and reviewed annually. ,
,389,Confidentiality,C1.1,"Documented confidential policies and procedures are in place that include the following:
•	Defining, identifying and designating information as confidential
•	Storing confidential information
•	Protecting confidential information from erasure or destruction
•	Retaining confidential information for only as long as is required to achieve the purpose for which the data was collected and processed","Inspected the confidentiality policies and procedures to determine that documented confidential policies and procedures were in place that included:
•	Defining, identifying and designating information as confidential
•	Storing confidential information
•	Protecting confidential information from erasure or destruction
•	Retaining confidential information for only as long as was required to achieve the purpose for which the data was collected and processed",
,390,Confidentiality,C1.1,An inventory log is maintained of assets with confidential data. ,Inspected the inventory log to determine that an inventory log was maintained of assets with confidential data.,
,391,Confidentiality,C1.1,Confidential information is maintained in locations restricted to those authorized to access. ,Inquired of the GRC Team Contractor regarding confidential information access to determine that confidential information was maintained in locations restricted to those authorized to access. ,
,,,,,Inspected the file access permissions for an example file marked as confidential to determine that confidential information was maintained in locations restricted to those authorized to access. ,
,392,Confidentiality,C1.1,Confidential information is protected from erasure or destruction during the specified retention period.,Inspected the confidentiality policies and procedures to determine that confidential information was protected from erasure or destruction during the specified retention period.,
,393,Confidentiality,C1.2,"Documented data destruction policies and procedures are in place that include the following:
•	Identifying confidential information requiring destruction when the end of the retention period is reached
•	Erasing or destroying confidential information that has been identified for destruction","Inspected the data destruction policies and procedures to determine that documented data destruction policies and procedures were in place that included:
•	Identifying confidential information requiring destruction when the end of the retention period was reached
•	Erasing or destroying confidential information that had been identified for destruction",
,394,Confidentiality,C1.2,"An inventory log is maintained of assets with confidential data, and as confidential data meets the retention period, the data is destroyed or purged.","Inspected the inventory log to determine that an inventory log was maintained of assets with confidential data, and as confidential data met the retention period, the data was destroyed or purged.",
,395,Confidentiality,C1.2,The entity purges confidential data after it is no longer required to achieve the purpose for which the data was collected and processed.,Inquired of the GRC Team contractor regarding data disposals to determine that the entity purged confidential data after it was no longer required to achieve the purpose for which the data was collected and processed.,
,,,,,Inspected the data retention policy and procedure to determine that the entity purged confidential data after it was no longer required to achieve the purpose for which the data was collected and processed.,
,,,,,"Inspected the service ticket for a sample of requests to dispose of data, purge a system, or physically destroy a system, to determine that data that the entity purged confidential data after it was no longer required to achieve the purpose for which the data was collected and processed.",
,396,Privacy,P1.0,"The entity provides notice to the data subjects it collects personal information about including the following:
•	Purpose for collecting personal information
•	Choice and consent
•	Types of personal information collected 
•	Methods of collection 
•	Use, retention, and disposal of personal information
•	Access to personal information
•	Disclosure of personal information to third parties 
•	Security for privacy 
•	Quality of personal information
•	Monitoring and enforcement if personal information is collected from sources other than the individual","Inspected the privacy notice to determine that the entity provided notice to the data subjects it collected personal information about including the following:
•	Purpose for collecting personal information
•	Choice and consent
•	Types of personal information collected 
•	Methods of collection 
•	Use, retention, and disposal of personal information
•	Access to personal information
•	Disclosure of personal information to third parties 
•	Security for privacy 
•	Quality of personal information
•	Monitoring and enforcement if personal information was collected from sources other than the individual",
,397,Privacy,P1.0,The entity provides notice to data subjects before the time personal information is collected.,Inquired of the Principal Privacy Analyst regarding personal information to determine that entity provided notice to data subjects before the time personal information was collected.,
,,,,,Observed the registration process to determine that entity provided notice to data subjects before the time personal information was collected.,
,398,Privacy,P1.0,The entity provides notice to data subjects before the entity changes its privacy notice or as soon as the privacy notice is changed.,Inspected the data processing addendum and Company website to determine that the entity provided notice to data subjects before the entity changed its privacy notice or as soon as the privacy notice was changed.,
,399,Privacy,P1.0,The entity provides notice to data subjects before personal information is used for new purposes not previously identified.,Inspected the Company website and data processing addendum to determine that the entity provided notice to data subjects before personal information was used for new purposes not previously identified.,
,400,Privacy,P1.0,A description of the entity's activities performed as it relates to the collection of a data subject's personal information is included in the entity's privacy notice.,Inspected the privacy notice to determine that a description of the entity's activities performed as it related to the collection of a data subject's personal information was included in the entity's privacy notice.,
,401,Privacy,P1.0,The entity's privacy notice is made available through the company's website and uses clear language.,Inquired of the Principal Privacy Analyst regarding the privacy notice to determine that the entity's privacy notice was made available through the company's website and used clear language.,
,,,,,Observed the company's website and inspected the privacy notice to determine that the entity's privacy notice was made available through the company's website and used clear language.,
,402,Privacy,P2.1,"The privacy notice informs data subjects about the choices available to them with respect to the collection, use, and disclosure of personal information.","Inspected the privacy notice to determine that the privacy notice informed data subjects about the choices available to them with respect to the collection, use, and disclosure of personal information.",
,403,Privacy,P2.1,"The privacy notice informs data subjects that consent is required to collect, use, and disclose personal information.","Inquired of the Principal Privacy Analyst regarding the registration process to determine that the privacy notice informed data subjects that consent was required to collect, use, and disclose personal information.",
,,,,,"Observed the registration process to determine that the privacy notice informed data subjects that consent was required to collect, use, and disclose personal information.",
,,,,,"Inspected the privacy notice to determine that the privacy notice informed data subjects that consent was required to collect, use, and disclose personal information.",
,404,Privacy,P2.1,The privacy notice informs data subjects of the consequences of refusing to provide personal information or denying or withdrawing consent to use personal information for purposes identified in the notice.,Inspected the privacy notice to determine that the privacy notice informed data subjects of the consequences of refusing to provide personal information or denying or withdrawing consent to use personal information for purposes identified in the notice.,
,405,Privacy,P2.1,"When information that was previously collected is used for purposes not previously identified in the privacy notice, the new purpose is added to the privacy notice, the customer is notified, and consent is obtained prior to such new use or purpose.","Inquired of the Principal Privacy Analyst regarding the consent acknowledgement to determine that when information that was previously collected is used for purposes not previously identified in the privacy notice, the new purpose is added to the privacy notice, the customer is notified, and consent is obtained prior to such new use or purpose.",
,,,,,"Inspected the privacy notice to determine that when information that was previously collected is used for purposes not previously identified in the privacy notice, the new purpose is added to the privacy notice, the customer is notified, and consent is obtained prior to such new use or purpose.",
,,,,,"Inspected the consent acknowledgement for a sample of changes in data collection use for new purposes to determine that when information that was previously collected is used for purposes not previously identified in the privacy notice, the new purpose is added to the privacy notice, the customer is notified, and consent is obtained prior to such new use or purpose.",
,406,Privacy,P3.1,The collection of personal information is limited to what is defined in the privacy notice and customer contract.,Inspected the privacy notice to determine that the collection of personal information was limited to what is defined in the privacy notice and customer contract.,
,,,,,Inspected the executed agreement for a sample of customers to determine that the collection of personal information was limited to what is defined in the privacy notice and customer contract.,
,407,Privacy,P4.1,Personal information is used only for the intended purposes for which it was collected and only when consent has been obtained.,Inspected the privacy notice and the executed agreement for a sample of customers to determine that personal information was used only for the intended purposes for which it was collected and only when consent had been obtained.,
,408,Privacy,P4.2,Personal information is retained for no longer than required to fulfill the stated purposes as defined in the entity's privacy notice.,Inspected the privacy notice to determine that personal information was retained for no longer than required to fulfill the stated purposes as defined in the entity's privacy notice.,
,409,Privacy,P4.2,Policies and procedures have been implemented to protect personal information from erasure or destruction during the specified retention period of the information.,Inspected the privacy policies and procedures to determine that policies and procedures were implemented to protect personal information from erasure or destruction during the specified retention period of the information.,
Update,410,Privacy,P4.3,Requests for the deletion of personal information are documented and tracked.,Inquired of the GRC Team Contractor regarding deletion requests to determine that requests for the deletion of personal information were documented and tracked.,Add upon contract termination.
,,,,,Inspected the privacy policies and procedures to determine that requests for the deletion of personal information were documented and tracked.,
,,,,,Inspected the deletion request ticket for a sample of requests for the deletion of personal information to determine that requests for the deletion of personal information were documented and tracked.,
,411,Privacy,P4.3,"Personal information no longer retained is anonymized, disposed of, or destroyed.","Inquired of the GRC Team Contractor regarding deletion requests to determine that personal information no longer retained was anonymized, disposed of, or destroyed.",
,412,Privacy,P4.3,,"Inspected the privacy policies and procedures to determine that personal information no longer retained was anonymized, disposed of, or destroyed.",
,413,Privacy,P4.3,,"Inspected the deletion request ticket for a sample of requests for the deletion of personal information to determine that personal information no longer retained was anonymized, disposed of, or destroyed.",
,414,Privacy,P4.3,Policies and procedures are implemented to erase or otherwise destroy personal information that has been identified for destruction.,Inspected the privacy policies and procedures to determine that policies and procedures were implemented to erase or otherwise destroy personal information that had been identified for destruction.,
Update,415,Privacy,P5.1,"Customers are able to determine whether the entity maintains personal information about their data subjects and, upon request, may obtain access to their personal information on behalf of their data subjects.","Inquired of the GRC Team Contractor regarding process by which a data subject was authenticated and given access to their personal information to determine that customers were able to determine whether the entity maintains personal information about their data subjects and, upon request, may obtain access to their personal information on behalf of their data subjects.",Update wording with more specificity on iCIMS role.
,,,,,"Observed the process by which a data subject was authenticated and given access to their personal information to determine that customers were able to determine whether the entity maintains personal information about their data subjects and, upon request, may obtain access to their personal information on behalf of their data subjects.",
,416,Privacy,P5.1,Personal information is provided to customers in an understandable and reasonable manner.,Inquired of the Principal Privacy Analyst regarding the process by which a customer was authenticated and given access to their personal information to determine that personal information was provided to customers in an understandable and reasonable manner.,
,,,,,Observed the process by which a customer was authenticated and given access to their personal information to determine that personal information was provided to customers in an understandable and reasonable manner.,
Update,417,Privacy,P5.1,"When data subjects are denied access to their personal information, the entity informs them of the denial and the reason for the denial.","Inquired of the Principal Privacy Analyst regarding denial notices to a data subject to determine that when data subjects were denied access to their personal information, the entity informed them of the denial and the reason for the denial.",Update wording with more specificity on iCIMS role.
,,,,,"Inspected the privacy notice to determine that when data subjects were denied access to their personal information, the entity informed them of the denial and the reason for the denial.",
,,,,,"Inspected the denial notice for a sample of data subjects that were denied access to their personal information to determine that when data subjects were denied access to their personal information, the entity informed them of the denial and the reason for the denial.",
Update,418,Privacy,P5.2,"Data subjects are informed of the reason a request for access to their personal information was denied and the individual's right, if any, to challenge such denial.","Inquired of the Principal Privacy Analyst regarding denial notices to a data subject to determine that data subjects were informed of the reason a request for access to their personal information was denied and the individual's right, if any, to challenge such denial.",Update wording with more specificity on iCIMS role.
,,,,,"Inspected privacy notice to determine that data subjects were informed of the reason a request for access to their personal information was denied and the individual's right, if any, to challenge such denial.",
,,,,,"Inspected the denial notice for a sample of data subjects that were denied access to their personal information to determine that data subjects were informed of the reason a request for access to their personal information was denied and the individual's right, if any, to challenge such denial.",
Update,419,Privacy,P5.2,Data subjects are informed about the reason a request for correction of personal information was denied and how they may appeal.,Inquired of the Principal Privacy Analyst regarding the denial notices to a data subject and determined that data subjects were informed about the reason a request for correction of personal information was denied and how they may appeal.,Update wording with more specificity on iCIMS role.
,,,,,Inspected the privacy notice to determine that data subjects were informed about the reason a request for correction of personal information was denied and how they may appeal.,
,,,,,Inspected the denial notice for a sample of data subjects that were denied access to correct their personal information to determine that data subjects were informed about the reason a request for correction of personal information was denied and how they may appeal.,
,420,Privacy,P6.1,Privacy policies for handling personal information are communicated to third parties to whom personal information is disclosed. ,Inspected the executed third-party contract for a sample of third parties to whom personal information was disclosed to determine that privacy policies for handling personal information were communicated to third parties to whom personal information was disclosed. ,
,421,Privacy,P6.1,Personal information is disclosed to third parties only for the purposes for which it was collected or created and only when consent has been obtained from the data subject.,Inspected the privacy notice to determine that personal information was disclosed to third parties only for the purposes for which it was collected or created and only when consent has been obtained from the data subject.,
,422,Privacy,P6.1,Personal information is disclosed only to third parties who have agreements with the entity to protect personal information in a manner consistent with the relevant aspects of the entity's privacy notice.,Inspected the executed third-party contract for a sample of third parties to whom personal information was disclosed and the entity's privacy notice to determine that personal information was disclosed only to third parties who had agreements with the entity to protect personal information in a manner consistent with the relevant aspects of the entity's privacy notice.,
,423,Privacy,P6.1,The entity performs a vendor risk assessment annually that includes an evaluation that third parties to whom personal information is disclosed have effective controls to meet the terms of the agreement.,Inspected the completed vendor risk assessment to determine that the entity performed a vendor risk assessment annually that included an evaluation that third parties to whom personal information was disclosed had effective controls to meet the terms of the agreement.,
,424,Privacy,P6.2,"The entity creates and maintains a record of authorized disclosures of personal information that is reviewed annually for completeness, accuracy, and timeliness.","Inquired of the Principal Privacy Analyst regarding authorized disclosure to determine that the entity created and maintained a record of authorized disclosures of personal information that was reviewed annually for completeness, accuracy, and timeliness.",
,,,,,"Inspected the executed customer contract for a sample of customers to determine that the entity created and maintained a record of authorized disclosures of personal information that was reviewed annually for completeness, accuracy, and timeliness.",
,,,,,"Inspected the tool used to track disclosures of personal information to determine that the entity created and maintained a record of authorized disclosures of personal information that was reviewed annually for completeness, accuracy, and timeliness.",
,425,Privacy,P6.3,"The entity creates and maintains a record of detected or reported unauthorized disclosures of personal information that is reviewed annually for completeness, accuracy, and timeliness.","Inspected the tool used to track disclosures of personal information to determine that the entity created and maintained a record of detected or reported unauthorized disclosures of personal information that was reviewed annually for completeness, accuracy, and timeliness.",
,426,Privacy,P6.4,Personal information is disclosed only to third parties who have agreements with the entity to protect personal information in a manner consistent with the relevant aspects of the entity's privacy notice.,Inspected the executed third-party contract for a sample of third parties to whom personal information was disclosed and the entity's privacy notice to determine that personal information was disclosed only to third parties who had agreements with the entity to protect personal information in a manner consistent with the relevant aspects of the entity's privacy notice.,
,427,Privacy,P6.4,The entity has procedures in place to evaluate that third parties have effective controls in place to meet the terms of the agreement.,Inspected the privacy policies and vendor management policies and procedures to determine that the entity had procedures in place to evaluate that third parties had effective controls in place to meet the terms of the agreement.,
,428,Privacy,P6.4,The entity takes remedial action in response to the misuse of personal information by a third party to whom the entity has transferred such information.,Inquired of the Principal Privacy Analyst regarding misuse of personal information to determine that the entity took remedial action in response to the misuse of personal information by a third party to whom the entity had transferred such information. ,
,,,,,Inspected the executed third-party contract for a sample of third parties to whom personal information was disclosed to determine that the entity took remedial action in response to the misuse of personal information by a third party to whom the entity had transferred such information. ,
,,,,,Inspected the remedial actions taken for a sample of misuse of personal information to determine that the entity took remedial action in response to the misuse of personal information by a third party to whom the entity had transferred such information. ,
,429,Privacy,P6.5,The entity takes remedial action in response to the misuse of personal information by a third party to whom the entity has transferred such information.,Inquired of the Principal Privacy Analyst regarding misuse of personal information to determine that the entity took remedial action in response to the misuse of personal information by a third party to whom the entity had transferred such information. ,
,,,,,Inspected the executed third-party contract for a sample of third parties to whom personal information was disclosed to determine that the entity took remedial action in response to the misuse of personal information by a third party to whom the entity had transferred such information. ,
,,,,,Inspected the remedial actions taken for a sample of misuse of personal information to determine that the entity took remedial action in response to the misuse of personal information by a third party to whom the entity had transferred such information.,
,430,Privacy,P6.5,A process exists for obtaining commitments from third parties to report to the entity actual or suspected unauthorized disclosures of personal information.,Inspected the executed third-party contract for a sample of third parties to whom personal information was disclosed to determine that a process existed for obtaining commitments from third parties to report to the entity actual or suspected unauthorized disclosures of personal information. ,
,431,Privacy,P6.6,The entity takes remedial action in response to the misuse of personal information by a third party to whom the entity has transferred such information.,Inspected the third-party contract for a sample of third parties to whom personal information was disclosed to determine that the entity took remedial action in response to the misuse of personal information by a third party to whom the entity had transferred such information. ,
,432,Privacy,P6.6,The entity has a process for providing notice of breaches and incidents to affected data subjects.,Inspected the privacy notice to determine that the entity had a process for providing notice of breaches and incidents to affected data subjects.,
,433,Privacy,P6.7,"The types of personal information and related processes, systems, and third parties involved in the handling of such information are identified.","Inspected the authorized sub processor repository and data classification policies to determine that the types of personal information and related processes, systems, and third parties involved in the handling of such information were identified.",
,434,Privacy,P6.7,"Requests to identify what personal information is held and disclosures of the data subjects' personal information are tracked, and information related to the requests is identified and communicated to data subjects.","Inspected the tools used to track requests for identifying the personal information held and disclosures of the data subjects' personal information to determine that requests to identify what personal information was held and disclosures of the data subjects' personal information were tracked, and information related to the requests was identified and communicated to data subjects.",
,,,,,"Inspected the supporting communication to data subjects and data subject request procedure to determine that requests to identify what personal information was held and disclosures of the data subjects' personal information were tracked, and information related to the requests was identified and communicated to data subjects.",
,435,Privacy,P7.1,Personal information is reviewed annually for accuracy and completeness against the purposes for which it is intended to be used.,Inspected the data classification policies and procedures and authorized sub processor list to determine that personal information was reviewed annually for accuracy and completeness against the purposes for which it was intended to be used.,
,436,Privacy,P7.1,Personal information is reviewed annually for relevance against the purposes for which it is to be used.,Inspected the data classification policies and procedures and authorized sub processor list to determine that personal information was reviewed annually for relevance against the purposes for which it was to be used.,
,437,Privacy,P8.1,"Data subjects are informed about how to contact the entity with inquiries, complaints, and disputes. ","Inspected the privacy notice to determine that data subjects were informed about how to contact the entity with inquiries, complaints, and disputes. ",
,438,Privacy,P8.1,"A process is in place to address inquiries, complaints, and disputes.","Inspected the incident management policies and procedures to determine that a process was in place to address inquiries, complaints, and disputes.",
,439,Privacy,P8.1,"Each complaint is addressed, and the resolution is documented and communicated to the individual.","Inquired of the Principal Privacy Analyst regarding complaints from data subjects to determine that each complaint was addressed, and the resolution was documented and communicated to the individual.",
,,,,,"Inspected the privacy notice to determine that each complaint was addressed, and the resolution was documented and communicated to the individual.",
,,,,,"Inspected the supporting communication and ticket documenting the complaint for a sample of complaints from data subjects to determine that each complaint was addressed, and the resolution was documented and communicated to the individual.",
,440,Privacy,P8.1,"Compliance with the privacy notice is reviewed and documented annually, and the results of that review are reported to management.","Inspected the completed review of compliance with the privacy notice and communication to management to determine that compliance with the privacy notice was reviewed and documented, and the results of that review were reported to management.",
,441,Privacy,P8.1,"Instances of noncompliance against the privacy notice are documented and reported, and corrective and disciplinary measures are taken as appropriate.","Inquired of the Principal Privacy Analyst regarding the privacy notice to determine that instances of noncompliance against the privacy notice were documented and reported, and corrective and disciplinary measures were taken as appropriate.",
,,,,,"Inspected the privacy notice to determine that instances of noncompliance against the privacy notice were documented and reported, and corrective and disciplinary measures were taken as appropriate.",
